HD 103949,1.0,26.52,b,0.439000,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 104067,1.0,20.38,b,0.260000,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 10442,1.0,135.89,b,2.010000,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 104985,1.0,100.86,b,0.950000,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 106252,1.0,38.23,b,2.610000,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 106270,1.0,94.06,b,3.340000,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 106315,2.0,109.00,b,0.090700,c,0.153600,,,,,,,,,,,,,,,,,,,,,,,,
HD 10647,1.0,17.34,b,2.015000,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 106906,1.0,103.33,b,650.000000,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 10697,1.0,33.15,b,2.140000,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 108147,1.0,38.96,b,0.102000,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 108863,1.0,165.52,b,1.320000,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 108874,2.0,59.62,b,1.040000,c,2.659000,,,,,,,,,,,,,,,,,,,,,,,,
HD 109246,1.0,67.97,b,0.330000,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 109271,2.0,55.96,b,0.079000,c,0.196000,,,,,,,,,,,,,,,,,,,,,,,,
HD 110014,1.0,100.98,b,2.140000,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 111232,1.0,28.98,b,1.970000,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 111591,1.0,114.54,b,2.500000,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 111998,1.0,33.26,b,1.820000,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 113337,1.0,36.22,b,0.920000,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 113538,2.0,15.90,b,1.240000,c,2.440000,,,,,,,,,,,,,,,,,,,,,,,,
HD 114386,1.0,27.95,b,1.730000,,,,,,,,,,,,,,,,,,,,,,,,,,
HD 114613,1.0,20.29,b,5.340000,,,,,,,,,,,,,,,,,,,,,,,,,,
